gf,ga,xg,xga,poss,attendance,sh,sot,dist,fk,pk,pkatt,season,result
2,1,2.1,0.7,42.0,31642.0,17.0,4.0,18.5,0.0,0,0,2023,1.0
2,0,1.2,0.5,64.0,40020.0,15.0,7.0,15.9,0.0,0,0,2021,1.0
0,3,0.5,1.9,60.0,32185.0,8.0,2.0,20.1,0.0,0,0,2022,0.0
2,1,2.0,1.7,45.0,30510.0,12.0,5.0,17.4,1.0,0,0,2022,1.0
0,2,0.2,2.2,45.0,20019.0,6.0,2.0,23.1,0.0,0,0,2021,0.0
1,3,0.6,1.4,23.0,25110.0,13.0,4.0,18.7,0.0,0,0,2023,0.0
1,1,1.5,1.0,49.0,39271.0,19.0,8.0,20.8,1.0,0,0,2022,0.5
0,0,0.4,0.9,42.0,10126.0,7.0,0.0,15.5,1.0,0,0,2022,0.5
0,3,1.8,2.0,59.0,31664.0,22.0,2.0,19.5,1.0,0,0,2022,0.0
1,1,1.0,0.2,59.0,24203.0,11.0,4.0,18.7,2.0,0,0,2021,0.5
1,3,1.0,1.8,39.0,24066.0,12.0,6.0,20.5,1.0,0,0,2021,0.0
3,1,3.1,0.2,68.0,17075.0,27.0,6.0,15.4,0.0,0,0,2023,1.0
2,3,0.4,3.1,43.0,60325.0,6.0,4.0,18.2,0.0,0,0,2022,0.0
1,2,1.2,1.6,53.0,36417.0,15.0,5.0,19.5,0.0,0,0,2021,0.0
